nl_query,sql_query
Find Id from UiPageNavigation where Id > 50,SELECT Id FROM UiPageNavigation WHERE Id > 50;
Find unique values in Id from UiPageNavigation,SELECT DISTINCT Id FROM UiPageNavigation;
Find average of Id from UiPageNavigation,SELECT AVG(Id) FROM UiPageNavigation;
Find minimum of Id from UiPageNavigation,SELECT MIN(Id) FROM UiPageNavigation;
Find maximum of Id from UiPageNavigation,SELECT MAX(Id) FROM UiPageNavigation;
Find sum of Id from UiPageNavigation,SELECT SUM(Id) FROM UiPageNavigation;
Find count of Id from UiPageNavigation,SELECT COUNT(Id) FROM UiPageNavigation;
Find count of distinct Id from UiPageNavigation,SELECT COUNT(DISTINCT Id) FROM UiPageNavigation;
Find count of null values in Id from UiPageNavigation,SELECT COUNT(*) - COUNT(Id) FROM UiPageNavigation;
Find count of non-null values in Id from UiPageNavigation,SELECT COUNT(Id) FROM UiPageNavigation;
Find count of records where Id is null from UiPageNavigation,SELECT COUNT(*) FROM UiPageNavigation WHERE Id IS NULL;
Find count of records where Id is not null from UiPageNavigation,SELECT COUNT(*) FROM UiPageNavigation WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UiPageNavigation,SELECT COUNT(*) FROM UiPageNavigation WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UiPageNavigation,SELECT COUNT(*) FROM UiPageNavigation WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiPageStringType,SELECT * FROM UiPageStringType;
Find top 10 records from UiPageStringType,SELECT TOP 10 * FROM UiPageStringType;
Count total records in UiPageStringType,SELECT COUNT(*) FROM UiPageStringType;
Find Id from UiPageStringType where Id > 50,SELECT Id FROM UiPageStringType WHERE Id > 50;
Find unique values in Id from UiPageStringType,SELECT DISTINCT Id FROM UiPageStringType;
Find average of Id from UiPageStringType,SELECT AVG(Id) FROM UiPageStringType;
Find minimum of Id from UiPageStringType,SELECT MIN(Id) FROM UiPageStringType;
Find maximum of Id from UiPageStringType,SELECT MAX(Id) FROM UiPageStringType;
Find sum of Id from UiPageStringType,SELECT SUM(Id) FROM UiPageStringType;
Find count of Id from UiPageStringType,SELECT COUNT(Id) FROM UiPageStringType;
Find count of distinct Id from UiPageStringType,SELECT COUNT(DISTINCT Id) FROM UiPageStringType;
Find count of null values in Id from UiPageStringType,SELECT COUNT(*) - COUNT(Id) FROM UiPageStringType;
Find count of non-null values in Id from UiPageStringType,SELECT COUNT(Id) FROM UiPageStringType;
Find count of records where Id is null from UiPageStringType,SELECT COUNT(*) FROM UiPageStringType WHERE Id IS NULL;
Find count of records where Id is not null from UiPageStringType,SELECT COUNT(*) FROM UiPageStringType WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UiPageStringType,SELECT COUNT(*) FROM UiPageStringType WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UiPageStringType,SELECT COUNT(*) FROM UiPageStringType WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiPageType,SELECT * FROM UiPageType;
Find top 10 records from UiPageType,SELECT TOP 10 * FROM UiPageType;
Count total records in UiPageType,SELECT COUNT(*) FROM UiPageType;
Find Id from UiPageType where Id > 50,SELECT Id FROM UiPageType WHERE Id > 50;
Find unique values in Id from UiPageType,SELECT DISTINCT Id FROM UiPageType;
Find average of Id from UiPageType,SELECT AVG(Id) FROM UiPageType;
Find minimum of Id from UiPageType,SELECT MIN(Id) FROM UiPageType;
Find maximum of Id from UiPageType,SELECT MAX(Id) FROM UiPageType;
Find sum of Id from UiPageType,SELECT SUM(Id) FROM UiPageType;
Find count of Id from UiPageType,SELECT COUNT(Id) FROM UiPageType;
Find count of distinct Id from UiPageType,SELECT COUNT(DISTINCT Id) FROM UiPageType;
Find count of null values in Id from UiPageType,SELECT COUNT(*) - COUNT(Id) FROM UiPageType;
Find count of non-null values in Id from UiPageType,SELECT COUNT(Id) FROM UiPageType;
Find count of records where Id is null from UiPageType,SELECT COUNT(*) FROM UiPageType WHERE Id IS NULL;
Find count of records where Id is not null from UiPageType,SELECT COUNT(*) FROM UiPageType WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UiPageType,SELECT COUNT(*) FROM UiPageType WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UiPageType,SELECT COUNT(*) FROM UiPageType WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiPageValidation,SELECT * FROM UiPageValidation;
Find top 10 records from UiPageValidation,SELECT TOP 10 * FROM UiPageValidation;
Count total records in UiPageValidation,SELECT COUNT(*) FROM UiPageValidation;
Find Id from UiPageValidation where Id > 50,SELECT Id FROM UiPageValidation WHERE Id > 50;
Find unique values in Id from UiPageValidation,SELECT DISTINCT Id FROM UiPageValidation;
Find average of Id from UiPageValidation,SELECT AVG(Id) FROM UiPageValidation;
Find minimum of Id from UiPageValidation,SELECT MIN(Id) FROM UiPageValidation;
Find maximum of Id from UiPageValidation,SELECT MAX(Id) FROM UiPageValidation;
Find sum of Id from UiPageValidation,SELECT SUM(Id) FROM UiPageValidation;
Find count of Id from UiPageValidation,SELECT COUNT(Id) FROM UiPageValidation;
Find count of distinct Id from UiPageValidation,SELECT COUNT(DISTINCT Id) FROM UiPageValidation;
Find count of null values in Id from UiPageValidation,SELECT COUNT(*) - COUNT(Id) FROM UiPageValidation;
Find count of non-null values in Id from UiPageValidation,SELECT COUNT(Id) FROM UiPageValidation;
Find count of records where Id is null from UiPageValidation,SELECT COUNT(*) FROM UiPageValidation WHERE Id IS NULL;
Find count of records where Id is not null from UiPageValidation,SELECT COUNT(*) FROM UiPageValidation WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UiPageValidation,SELECT COUNT(*) FROM UiPageValidation WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UiPageValidation,SELECT COUNT(*) FROM UiPageValidation WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiPageValidationType,SELECT * FROM UiPageValidationType;
Find top 10 records from UiPageValidationType,SELECT TOP 10 * FROM UiPageValidationType;
Count total records in UiPageValidationType,SELECT COUNT(*) FROM UiPageValidationType;
Find Id from UiPageValidationType where Id > 50,SELECT Id FROM UiPageValidationType WHERE Id > 50;
Find unique values in Id from UiPageValidationType,SELECT DISTINCT Id FROM UiPageValidationType;
Find average of Id from UiPageValidationType,SELECT AVG(Id) FROM UiPageValidationType;
Find minimum of Id from UiPageValidationType,SELECT MIN(Id) FROM UiPageValidationType;
Find maximum of Id from UiPageValidationType,SELECT MAX(Id) FROM UiPageValidationType;
Find sum of Id from UiPageValidationType,SELECT SUM(Id) FROM UiPageValidationType;
Find count of Id from UiPageValidationType,SELECT COUNT(Id) FROM UiPageValidationType;
Find count of distinct Id from UiPageValidationType,SELECT COUNT(DISTINCT Id) FROM UiPageValidationType;
Find count of null values in Id from UiPageValidationType,SELECT COUNT(*) - COUNT(Id) FROM UiPageValidationType;
Find count of non-null values in Id from UiPageValidationType,SELECT COUNT(Id) FROM UiPageValidationType;
Find count of records where Id is null from UiPageValidationType,SELECT COUNT(*) FROM UiPageValidationType WHERE Id IS NULL;
Find count of records where Id is not null from UiPageValidationType,SELECT COUNT(*) FROM UiPageValidationType WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UiPageValidationType,SELECT COUNT(*) FROM UiPageValidationType WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UiPageValidationType,SELECT COUNT(*) FROM UiPageValidationType WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from User,SELECT * FROM User;
Find top 10 records from User,SELECT TOP 10 * FROM User;
Count total records in User,SELECT COUNT(*) FROM User;
Find Id from User where Id > 50,SELECT Id FROM User WHERE Id > 50;
Find unique values in Id from User,SELECT DISTINCT Id FROM User;
Find average of Id from User,SELECT AVG(Id) FROM User;
Find minimum of Id from User,SELECT MIN(Id) FROM User;
Find maximum of Id from User,SELECT MAX(Id) FROM User;
Find sum of Id from User,SELECT SUM(Id) FROM User;
Find count of Id from User,SELECT COUNT(Id) FROM User;
Find count of distinct Id from User,SELECT COUNT(DISTINCT Id) FROM User;
Find count of null values in Id from User,SELECT COUNT(*) - COUNT(Id) FROM User;
Find count of non-null values in Id from User,SELECT COUNT(Id) FROM User;
Find count of records where Id is null from User,SELECT COUNT(*) FROM User WHERE Id IS NULL;
Find count of records where Id is not null from User,SELECT COUNT(*) FROM User WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from User,SELECT COUNT(*) FROM User WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from User,SELECT COUNT(*) FROM User WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UserClaim,SELECT * FROM UserClaim;
Find top 10 records from UserClaim,SELECT TOP 10 * FROM UserClaim;
Count total records in UserClaim,SELECT COUNT(*) FROM UserClaim;
Find Id from UserClaim where Id > 50,SELECT Id FROM UserClaim WHERE Id > 50;
Find unique values in Id from UserClaim,SELECT DISTINCT Id FROM UserClaim;
Find average of Id from UserClaim,SELECT AVG(Id) FROM UserClaim;
Find minimum of Id from UserClaim,SELECT MIN(Id) FROM UserClaim;
Find maximum of Id from UserClaim,SELECT MAX(Id) FROM UserClaim;
Find sum of Id from UserClaim,SELECT SUM(Id) FROM UserClaim;
Find count of Id from UserClaim,SELECT COUNT(Id) FROM UserClaim;
Find count of distinct Id from UserClaim,SELECT COUNT(DISTINCT Id) FROM UserClaim;
Find count of null values in Id from UserClaim,SELECT COUNT(*) - COUNT(Id) FROM UserClaim;
Find count of non-null values in Id from UserClaim,SELECT COUNT(Id) FROM UserClaim;
Find count of records where Id is null from UserClaim,SELECT COUNT(*) FROM UserClaim WHERE Id IS NULL;
Find count of records where Id is not null from UserClaim,SELECT COUNT(*) FROM UserClaim WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UserClaim,SELECT COUNT(*) FROM UserClaim WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UserClaim,SELECT COUNT(*) FROM UserClaim WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UserGroup,SELECT * FROM UserGroup;
Find top 10 records from UserGroup,SELECT TOP 10 * FROM UserGroup;
Count total records in UserGroup,SELECT COUNT(*) FROM UserGroup;
Find Id from UserGroup where Id > 50,SELECT Id FROM UserGroup WHERE Id > 50;
Find unique values in Id from UserGroup,SELECT DISTINCT Id FROM UserGroup;
Find average of Id from UserGroup,SELECT AVG(Id) FROM UserGroup;
Find minimum of Id from UserGroup,SELECT MIN(Id) FROM UserGroup;
Find maximum of Id from UserGroup,SELECT MAX(Id) FROM UserGroup;
Find sum of Id from UserGroup,SELECT SUM(Id) FROM UserGroup;
Find count of Id from UserGroup,SELECT COUNT(Id) FROM UserGroup;
Find count of distinct Id from UserGroup,SELECT COUNT(DISTINCT Id) FROM UserGroup;
Find count of null values in Id from UserGroup,SELECT COUNT(*) - COUNT(Id) FROM UserGroup;
Find count of non-null values in Id from UserGroup,SELECT COUNT(Id) FROM UserGroup;
Find count of records where Id is null from UserGroup,SELECT COUNT(*) FROM UserGroup WHERE Id IS NULL;
Find count of records where Id is not null from UserGroup,SELECT COUNT(*) FROM UserGroup WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UserGroup,SELECT COUNT(*) FROM UserGroup WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UserGroup,SELECT COUNT(*) FROM UserGroup WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UserOtp,SELECT * FROM UserOtp;
Find top 10 records from UserOtp,SELECT TOP 10 * FROM UserOtp;
Count total records in UserOtp,SELECT COUNT(*) FROM UserOtp;
Find Id from UserOtp where Id > 50,SELECT Id FROM UserOtp WHERE Id > 50;
Find unique values in Id from UserOtp,SELECT DISTINCT Id FROM UserOtp;
Find average of Id from UserOtp,SELECT AVG(Id) FROM UserOtp;
Find minimum of Id from UserOtp,SELECT MIN(Id) FROM UserOtp;
Find maximum of Id from UserOtp,SELECT MAX(Id) FROM UserOtp;
Find sum of Id from UserOtp,SELECT SUM(Id) FROM UserOtp;
Find count of Id from UserOtp,SELECT COUNT(Id) FROM UserOtp;
Find count of distinct Id from UserOtp,SELECT COUNT(DISTINCT Id) FROM UserOtp;
Find count of null values in Id from UserOtp,SELECT COUNT(*) - COUNT(Id) FROM UserOtp;
Find count of non-null values in Id from UserOtp,SELECT COUNT(Id) FROM UserOtp;
Find count of records where Id is null from UserOtp,SELECT COUNT(*) FROM UserOtp WHERE Id IS NULL;
Find count of records where Id is not null from UserOtp,SELECT COUNT(*) FROM UserOtp WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UserOtp,SELECT COUNT(*) FROM UserOtp WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UserOtp,SELECT COUNT(*) FROM UserOtp WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UserRole,SELECT * FROM UserRole;
Find top 10 records from UserRole,SELECT TOP 10 * FROM UserRole;
Count total records in UserRole,SELECT COUNT(*) FROM UserRole;
Find Id from UserRole where Id > 50,SELECT Id FROM UserRole WHERE Id > 50;
Find unique values in Id from UserRole,SELECT DISTINCT Id FROM UserRole;
Find average of Id from UserRole,SELECT AVG(Id) FROM UserRole;
Find minimum of Id from UserRole,SELECT MIN(Id) FROM UserRole;
Find maximum of Id from UserRole,SELECT MAX(Id) FROM UserRole;
Find sum of Id from UserRole,SELECT SUM(Id) FROM UserRole;
Find count of Id from UserRole,SELECT COUNT(Id) FROM UserRole;
Find count of distinct Id from UserRole,SELECT COUNT(DISTINCT Id) FROM UserRole;
Find count of null values in Id from UserRole,SELECT COUNT(*) - COUNT(Id) FROM UserRole;
Find count of non-null values in Id from UserRole,SELECT COUNT(Id) FROM UserRole;
Find count of records where Id is null from UserRole,SELECT COUNT(*) FROM UserRole WHERE Id IS NULL;
Find count of records where Id is not null from UserRole,SELECT COUNT(*) FROM UserRole WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UserRole,SELECT COUNT(*) FROM UserRole WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UserRole,SELECT COUNT(*) FROM UserRole WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UserRoleClaim,SELECT * FROM UserRoleClaim;
Find top 10 records from UserRoleClaim,SELECT TOP 10 * FROM UserRoleClaim;
Count total records in UserRoleClaim,SELECT COUNT(*) FROM UserRoleClaim;
Find Id from UserRoleClaim where Id > 50,SELECT Id FROM UserRoleClaim WHERE Id > 50;
Find unique values in Id from UserRoleClaim,SELECT DISTINCT Id FROM UserRoleClaim;
Find average of Id from UserRoleClaim,SELECT AVG(Id) FROM UserRoleClaim;
Find minimum of Id from UserRoleClaim,SELECT MIN(Id) FROM UserRoleClaim;
Find maximum of Id from UserRoleClaim,SELECT MAX(Id) FROM UserRoleClaim;
Find sum of Id from UserRoleClaim,SELECT SUM(Id) FROM UserRoleClaim;
Find count of Id from UserRoleClaim,SELECT COUNT(Id) FROM UserRoleClaim;
Find count of distinct Id from UserRoleClaim,SELECT COUNT(DISTINCT Id) FROM UserRoleClaim;
Find count of null values in Id from UserRoleClaim,SELECT COUNT(*) - COUNT(Id) FROM UserRoleClaim;
Find count of non-null values in Id from UserRoleClaim,SELECT COUNT(Id) FROM UserRoleClaim;
Find count of records where Id is null from UserRoleClaim,SELECT COUNT(*) FROM UserRoleClaim WHERE Id IS NULL;
Find count of records where Id is not null from UserRoleClaim,SELECT COUNT(*) FROM UserRoleClaim WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UserRoleClaim,SELECT COUNT(*) FROM UserRoleClaim WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UserRoleClaim,SELECT COUNT(*) FROM UserRoleClaim WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from Workflow,SELECT * FROM Workflow;
Find top 10 records from Workflow,SELECT TOP 10 * FROM Workflow;
Count total records in Workflow,SELECT COUNT(*) FROM Workflow;
Find Id from Workflow where Id > 50,SELECT Id FROM Workflow WHERE Id > 50;
Find unique values in Id from Workflow,SELECT DISTINCT Id FROM Workflow;
Find average of Id from Workflow,SELECT AVG(Id) FROM Workflow;
Find minimum of Id from Workflow,SELECT MIN(Id) FROM Workflow;
Find maximum of Id from Workflow,SELECT MAX(Id) FROM Workflow;
Find sum of Id from Workflow,SELECT SUM(Id) FROM Workflow;
Find count of Id from Workflow,SELECT COUNT(Id) FROM Workflow;
Find count of distinct Id from Workflow,SELECT COUNT(DISTINCT Id) FROM Workflow;
Find count of null values in Id from Workflow,SELECT COUNT(*) - COUNT(Id) FROM Workflow;
Find count of non-null values in Id from Workflow,SELECT COUNT(Id) FROM Workflow;
Find count of records where Id is null from Workflow,SELECT COUNT(*) FROM Workflow WHERE Id IS NULL;
Find count of records where Id is not null from Workflow,SELECT COUNT(*) FROM Workflow WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from Workflow,SELECT COUNT(*) FROM Workflow WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from Workflow,SELECT COUNT(*) FROM Workflow WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from WorkflowActivity,SELECT * FROM WorkflowActivity;
Find top 10 records from WorkflowActivity,SELECT TOP 10 * FROM WorkflowActivity;
Count total records in WorkflowActivity,SELECT COUNT(*) FROM WorkflowActivity;
Find Id from WorkflowActivity where Id > 50,SELECT Id FROM WorkflowActivity WHERE Id > 50;
Find unique values in Id from WorkflowActivity,SELECT DISTINCT Id FROM WorkflowActivity;
Find average of Id from WorkflowActivity,SELECT AVG(Id) FROM WorkflowActivity;
Find minimum of Id from WorkflowActivity,SELECT MIN(Id) FROM WorkflowActivity;
Find maximum of Id from WorkflowActivity,SELECT MAX(Id) FROM WorkflowActivity;
Find sum of Id from WorkflowActivity,SELECT SUM(Id) FROM WorkflowActivity;
Find count of Id from WorkflowActivity,SELECT COUNT(Id) FROM WorkflowActivity;
Find count of distinct Id from WorkflowActivity,SELECT COUNT(DISTINCT Id) FROM WorkflowActivity;
Find count of null values in Id from WorkflowActivity,SELECT COUNT(*) - COUNT(Id) FROM WorkflowActivity;
Find count of non-null values in Id from WorkflowActivity,SELECT COUNT(Id) FROM WorkflowActivity;
Find count of records where Id is null from WorkflowActivity,SELECT COUNT(*) FROM WorkflowActivity WHERE Id IS NULL;
Find count of records where Id is not null from WorkflowActivity,SELECT COUNT(*) FROM WorkflowActivity WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from WorkflowActivity,SELECT COUNT(*) FROM WorkflowActivity WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from WorkflowActivity,SELECT COUNT(*) FROM WorkflowActivity WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from WorkflowStage,SELECT * FROM WorkflowStage;
Find top 10 records from WorkflowStage,SELECT TOP 10 * FROM WorkflowStage;
Count total records in WorkflowStage,SELECT COUNT(*) FROM WorkflowStage;
Find Id from WorkflowStage where Id > 50,SELECT Id FROM WorkflowStage WHERE Id > 50;
Find unique values in Id from WorkflowStage,SELECT DISTINCT Id FROM WorkflowStage;
Find average of Id from WorkflowStage,SELECT AVG(Id) FROM WorkflowStage;
Find minimum of Id from WorkflowStage,SELECT MIN(Id) FROM WorkflowStage;
Find maximum of Id from WorkflowStage,SELECT MAX(Id) FROM WorkflowStage;
Find sum of Id from WorkflowStage,SELECT SUM(Id) FROM WorkflowStage;
Find count of Id from WorkflowStage,SELECT COUNT(Id) FROM WorkflowStage;
Find count of distinct Id from WorkflowStage,SELECT COUNT(DISTINCT Id) FROM WorkflowStage;
Find count of null values in Id from WorkflowStage,SELECT COUNT(*) - COUNT(Id) FROM WorkflowStage;
Find count of non-null values in Id from WorkflowStage,SELECT COUNT(Id) FROM WorkflowStage;
Find count of records where Id is null from WorkflowStage,SELECT COUNT(*) FROM WorkflowStage WHERE Id IS NULL;
Find count of records where Id is not null from WorkflowStage,SELECT COUNT(*) FROM WorkflowStage WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from WorkflowStage,SELECT COUNT(*) FROM WorkflowStage WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from WorkflowStage,SELECT COUNT(*) FROM WorkflowStage WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from Activity,SELECT * FROM Activity;
Find top 10 records from Activity,SELECT TOP 10 * FROM Activity;
Count total records in Activity,SELECT COUNT(*) FROM Activity;
Find Id from Activity where Id > 50,SELECT Id FROM Activity WHERE Id > 50;
Find unique values in Id from Activity,SELECT DISTINCT Id FROM Activity;
Find average of Id from Activity,SELECT AVG(Id) FROM Activity;
Find minimum of Id from Activity,SELECT MIN(Id) FROM Activity;
Find maximum of Id from Activity,SELECT MAX(Id) FROM Activity;
Find sum of Id from Activity,SELECT SUM(Id) FROM Activity;
Find count of Id from Activity,SELECT COUNT(Id) FROM Activity;
Find count of distinct Id from Activity,SELECT COUNT(DISTINCT Id) FROM Activity;
Find count of null values in Id from Activity,SELECT COUNT(*) - COUNT(Id) FROM Activity;
Find count of non-null values in Id from Activity,SELECT COUNT(Id) FROM Activity;
Find count of records where Id is null from Activity,SELECT COUNT(*) FROM Activity WHERE Id IS NULL;
Find count of records where Id is not null from Activity,SELECT COUNT(*) FROM Activity WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from Activity,SELECT COUNT(*) FROM Activity WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from Activity,SELECT COUNT(*) FROM Activity WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from ActivityMetadata,SELECT * FROM ActivityMetadata;
Find top 10 records from ActivityMetadata,SELECT TOP 10 * FROM ActivityMetadata;
Count total records in ActivityMetadata,SELECT COUNT(*) FROM ActivityMetadata;
Find Id from ActivityMetadata where Id > 50,SELECT Id FROM ActivityMetadata WHERE Id > 50;
Find unique values in Id from ActivityMetadata,SELECT DISTINCT Id FROM ActivityMetadata;
Find average of Id from ActivityMetadata,SELECT AVG(Id) FROM ActivityMetadata;
Find minimum of Id from ActivityMetadata,SELECT MIN(Id) FROM ActivityMetadata;
Find maximum of Id from ActivityMetadata,SELECT MAX(Id) FROM ActivityMetadata;
Find sum of Id from ActivityMetadata,SELECT SUM(Id) FROM ActivityMetadata;
Find count of Id from ActivityMetadata,SELECT COUNT(Id) FROM ActivityMetadata;
Find count of distinct Id from ActivityMetadata,SELECT COUNT(DISTINCT Id) FROM ActivityMetadata;
Find count of null values in Id from ActivityMetadata,SELECT COUNT(*) - COUNT(Id) FROM ActivityMetadata;
Find count of non-null values in Id from ActivityMetadata,SELECT COUNT(Id) FROM ActivityMetadata;
Find count of records where Id is null from ActivityMetadata,SELECT COUNT(*) FROM ActivityMetadata WHERE Id IS NULL;
Find count of records where Id is not null from ActivityMetadata,SELECT COUNT(*) FROM ActivityMetadata WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from ActivityMetadata,SELECT COUNT(*) FROM ActivityMetadata WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from ActivityMetadata,SELECT COUNT(*) FROM ActivityMetadata WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from Application,SELECT * FROM Application;
Find top 10 records from Application,SELECT TOP 10 * FROM Application;
Count total records in Application,SELECT COUNT(*) FROM Application;
Find Id from Application where Id > 50,SELECT Id FROM Application WHERE Id > 50;
Find unique values in Id from Application,SELECT DISTINCT Id FROM Application;
Find average of Id from Application,SELECT AVG(Id) FROM Application;
Find minimum of Id from Application,SELECT MIN(Id) FROM Application;
Find maximum of Id from Application,SELECT MAX(Id) FROM Application;
Find sum of Id from Application,SELECT SUM(Id) FROM Application;
Find count of Id from Application,SELECT COUNT(Id) FROM Application;
Find count of distinct Id from Application,SELECT COUNT(DISTINCT Id) FROM Application;
Find count of null values in Id from Application,SELECT COUNT(*) - COUNT(Id) FROM Application;
Find count of non-null values in Id from Application,SELECT COUNT(Id) FROM Application;
Find count of records where Id is null from Application,SELECT COUNT(*) FROM Application WHERE Id IS NULL;
Find count of records where Id is not null from Application,SELECT COUNT(*) FROM Application WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from Application,SELECT COUNT(*) FROM Application WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from Application,SELECT COUNT(*) FROM Application WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from ClaimType,SELECT * FROM ClaimType;
Find top 10 records from ClaimType,SELECT TOP 10 * FROM ClaimType;
Count total records in ClaimType,SELECT COUNT(*) FROM ClaimType;
Find Id from ClaimType where Id > 50,SELECT Id FROM ClaimType WHERE Id > 50;
Find unique values in Id from ClaimType,SELECT DISTINCT Id FROM ClaimType;
Find average of Id from ClaimType,SELECT AVG(Id) FROM ClaimType;
Find minimum of Id from ClaimType,SELECT MIN(Id) FROM ClaimType;
Find maximum of Id from ClaimType,SELECT MAX(Id) FROM ClaimType;
Find sum of Id from ClaimType,SELECT SUM(Id) FROM ClaimType;
Find count of Id from ClaimType,SELECT COUNT(Id) FROM ClaimType;
Find count of distinct Id from ClaimType,SELECT COUNT(DISTINCT Id) FROM ClaimType;
Find count of null values in Id from ClaimType,SELECT COUNT(*) - COUNT(Id) FROM ClaimType;
Find count of non-null values in Id from ClaimType,SELECT COUNT(Id) FROM ClaimType;
Find count of records where Id is null from ClaimType,SELECT COUNT(*) FROM ClaimType WHERE Id IS NULL;
Find count of records where Id is not null from ClaimType,SELECT COUNT(*) FROM ClaimType WHERE Id IS NOT NULL;
