Natural Language Query,SQL Query
"List all Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId in UiPageDateType where SubRecordId is 53","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageDateType WHERE SubRecordId = '85';"
"Find Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId in UiPageDateType with SubRecordId greater than 70","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageDateType WHERE SubRecordId > 19;"
"Get Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageDateType where SubRecordId is in (26, 54)","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageDateType WHERE SubRecordId IN ('49', '51');"
Find all records in UiPageDateType where SubRecordId is between 6 and 57,SELECT * FROM UiPageDateType WHERE SubRecordId BETWEEN '22' AND '71';
Join UiPageDateType and Application on SubRecordId = RecordId,SELECT * FROM UiPageDateType JOIN RoleClaim ON UiPageDateType.SubRecordId = RoleClaim.RecordId;
Count number of records in UiPageDateType,SELECT COUNT(*) FROM UiPageDateType;
"Find distinct Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageDateType","SELECT DISTINCT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageDateType;"
Get maximum SubRecordId from UiPageDateType,SELECT MAX(SubRecordId) FROM UiPageDateType;
Get minimum SubRecordId from UiPageDateType,SELECT MIN(SubRecordId) FROM UiPageDateType;
Calculate average SubRecordId in UiPageDateType,SELECT AVG(SubRecordId) FROM UiPageDateType;
Get all records from UiPageDecimalType,SELECT * FROM UiPageDecimalType;
"Show all Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType;"
"List all Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId in UiPageDecimalType where Id is 53","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE Id = '2';"
"Find Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId in UiPageDecimalType with Id greater than 86","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE Id > 86;"
"Get Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType where Id is in (40, 58)","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE Id IN ('21', '64');"
Find all records in UiPageDecimalType where Id is between 7 and 69,SELECT * FROM UiPageDecimalType WHERE Id BETWEEN '43' AND '79';
Join UiPageDecimalType and ModuleLayout on Id = Value,SELECT * FROM UiPageDecimalType JOIN PermissionType ON UiPageDecimalType.Id = PermissionType.SubRecordId;
Count number of records in UiPageDecimalType,SELECT COUNT(*) FROM UiPageDecimalType;
"Find distinct Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType","SELECT DISTINCT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType;"
Get maximum Id from UiPageDecimalType,SELECT MAX(Id) FROM UiPageDecimalType;
Get minimum Id from UiPageDecimalType,SELECT MIN(Id) FROM UiPageDecimalType;
Calculate average Id in UiPageDecimalType,SELECT AVG(Id) FROM UiPageDecimalType;
Get all records from UiPageDecimalType,SELECT * FROM UiPageDecimalType;
"Show all Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType;"
"List all Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId in UiPageDecimalType where Value is 2","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE Value = '73';"
"Find Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId in UiPageDecimalType with Value greater than 26","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE Value > 82;"
"Get Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType where Value is in (27, 53)","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE Value IN ('50', '96');"
Find all records in UiPageDecimalType where Value is between 45 and 93,SELECT * FROM UiPageDecimalType WHERE Value BETWEEN '22' AND '62';
Join UiPageDecimalType and Module on Value = IsDeleted,SELECT * FROM UiPageDecimalType JOIN UiPageDateType ON UiPageDecimalType.Value = UiPageDateType.RecordId;
Count number of records in UiPageDecimalType,SELECT COUNT(*) FROM UiPageDecimalType;
"Find distinct Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType","SELECT DISTINCT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType;"
Get maximum Value from UiPageDecimalType,SELECT MAX(Value) FROM UiPageDecimalType;
Get minimum Value from UiPageDecimalType,SELECT MIN(Value) FROM UiPageDecimalType;
Calculate average Value in UiPageDecimalType,SELECT AVG(Value) FROM UiPageDecimalType;
Get all records from UiPageDecimalType,SELECT * FROM UiPageDecimalType;
"Show all Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType;"
"List all Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId in UiPageDecimalType where UiPageMetadataId is 50","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE UiPageMetadataId = '20';"
"Find Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId in UiPageDecimalType with UiPageMetadataId greater than 14","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE UiPageMetadataId > 23;"
"Get Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType where UiPageMetadataId is in (32, 84)","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE UiPageMetadataId IN ('34', '75');"
Find all records in UiPageDecimalType where UiPageMetadataId is between 3 and 59,SELECT * FROM UiPageDecimalType WHERE UiPageMetadataId BETWEEN '16' AND '68';
Join UiPageDecimalType and Lookup on UiPageMetadataId = Id,SELECT * FROM UiPageDecimalType JOIN PermissionType ON UiPageDecimalType.UiPageMetadataId = PermissionType.IsDeleted;
Count number of records in UiPageDecimalType,SELECT COUNT(*) FROM UiPageDecimalType;
"Find distinct Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType","SELECT DISTINCT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType;"
Get maximum UiPageMetadataId from UiPageDecimalType,SELECT MAX(UiPageMetadataId) FROM UiPageDecimalType;
Get minimum UiPageMetadataId from UiPageDecimalType,SELECT MIN(UiPageMetadataId) FROM UiPageDecimalType;
Calculate average UiPageMetadataId in UiPageDecimalType,SELECT AVG(UiPageMetadataId) FROM UiPageDecimalType;
Get all records from UiPageDecimalType,SELECT * FROM UiPageDecimalType;
"Show all Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType;"
"List all Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId in UiPageDecimalType where RecordId is 95","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE RecordId = '75';"
"Find Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId in UiPageDecimalType with RecordId greater than 7","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE RecordId > 1;"
"Get Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType where RecordId is in (22, 99)","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE RecordId IN ('7', '100');"
Find all records in UiPageDecimalType where RecordId is between 4 and 86,SELECT * FROM UiPageDecimalType WHERE RecordId BETWEEN '32' AND '87';
Join UiPageDecimalType and SampleTable on RecordId = RecordId,SELECT * FROM UiPageDecimalType JOIN RoleClaim ON UiPageDecimalType.RecordId = RoleClaim.IsDeleted;
Count number of records in UiPageDecimalType,SELECT COUNT(*) FROM UiPageDecimalType;
"Find distinct Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType","SELECT DISTINCT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType;"
Get maximum RecordId from UiPageDecimalType,SELECT MAX(RecordId) FROM UiPageDecimalType;
Get minimum RecordId from UiPageDecimalType,SELECT MIN(RecordId) FROM UiPageDecimalType;
Calculate average RecordId in UiPageDecimalType,SELECT AVG(RecordId) FROM UiPageDecimalType;
Get all records from UiPageDecimalType,SELECT * FROM UiPageDecimalType;
"Show all Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType;"
"List all Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId in UiPageDecimalType where IsDeleted is 70","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE IsDeleted = '98';"
"Find Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId in UiPageDecimalType with IsDeleted greater than 86","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE IsDeleted > 78;"
"Get Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType where IsDeleted is in (22, 92)","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE IsDeleted IN ('17', '51');"
Find all records in UiPageDecimalType where IsDeleted is between 37 and 75,SELECT * FROM UiPageDecimalType WHERE IsDeleted BETWEEN '15' AND '72';
Join UiPageDecimalType and SampleTable on IsDeleted = Value,SELECT * FROM UiPageDecimalType JOIN UserRoleClaim ON UiPageDecimalType.IsDeleted = UserRoleClaim.SubRecordId;
Count number of records in UiPageDecimalType,SELECT COUNT(*) FROM UiPageDecimalType;
"Find distinct Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType","SELECT DISTINCT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType;"
Get maximum IsDeleted from UiPageDecimalType,SELECT MAX(IsDeleted) FROM UiPageDecimalType;
Get minimum IsDeleted from UiPageDecimalType,SELECT MIN(IsDeleted) FROM UiPageDecimalType;
Calculate average IsDeleted in UiPageDecimalType,SELECT AVG(IsDeleted) FROM UiPageDecimalType;
Get all records from UiPageDecimalType,SELECT * FROM UiPageDecimalType;
"Show all Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType;"
"List all Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId in UiPageDecimalType where SubRecordId is 34","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE SubRecordId = '60';"
"Find Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId in UiPageDecimalType with SubRecordId greater than 18","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE SubRecordId > 70;"
"Get Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType where SubRecordId is in (3, 58)","SELECT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType WHERE SubRecordId IN ('29', '77');"
Find all records in UiPageDecimalType where SubRecordId is between 10 and 71,SELECT * FROM UiPageDecimalType WHERE SubRecordId BETWEEN '24' AND '78';
Join UiPageDecimalType and Template on SubRecordId = UiPageMetadataId,SELECT * FROM UiPageDecimalType JOIN UserGroup ON UiPageDecimalType.SubRecordId = UserGroup.SubRecordId;
Count number of records in UiPageDecimalType,SELECT COUNT(*) FROM UiPageDecimalType;
"Find distinct Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId from UiPageDecimalType","SELECT DISTINCT Id, Value, UiPageMetadataId, RecordId, IsDeleted, SubRecordId FROM UiPageDecimalType;"
Get maximum SubRecordId from UiPageDecimalType,SELECT MAX(SubRecordId) FROM UiPageDecimalType;
Get minimum SubRecordId from UiPageDecimalType,SELECT MIN(SubRecordId) FROM UiPageDecimalType;
Calculate average SubRecordId in UiPageDecimalType,SELECT AVG(SubRecordId) FROM UiPageDecimalType;
Get all records from UiPageFileAttachType,SELECT * FROM UiPageFileAttachType;
"Show all Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType;"
"List all Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId in UiPageFileAttachType where Id is 7","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE Id = '1';"
"Find Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId in UiPageFileAttachType with Id greater than 9","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE Id > 5;"
"Get Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType where Id is in (31, 85)","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE Id IN ('12', '94');"
Find all records in UiPageFileAttachType where Id is between 3 and 100,SELECT * FROM UiPageFileAttachType WHERE Id BETWEEN '18' AND '88';
Join UiPageFileAttachType and Layout on Id = RecordId,SELECT * FROM UiPageFileAttachType JOIN Survey ON UiPageFileAttachType.Id = Survey.SubRecordId;
Count number of records in UiPageFileAttachType,SELECT COUNT(*) FROM UiPageFileAttachType;
"Find distinct Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType","SELECT DISTINCT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType;"
Get maximum Id from UiPageFileAttachType,SELECT MAX(Id) FROM UiPageFileAttachType;
Get minimum Id from UiPageFileAttachType,SELECT MIN(Id) FROM UiPageFileAttachType;
Calculate average Id in UiPageFileAttachType,SELECT AVG(Id) FROM UiPageFileAttachType;
Get all records from UiPageFileAttachType,SELECT * FROM UiPageFileAttachType;
"Show all Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType;"
"List all Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId in UiPageFileAttachType where UiPageMetadataId is 51","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE UiPageMetadataId = '76';"
"Find Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId in UiPageFileAttachType with UiPageMetadataId greater than 97","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE UiPageMetadataId > 99;"
"Get Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType where UiPageMetadataId is in (1, 80)","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE UiPageMetadataId IN ('14', '97');"
Find all records in UiPageFileAttachType where UiPageMetadataId is between 1 and 88,SELECT * FROM UiPageFileAttachType WHERE UiPageMetadataId BETWEEN '33' AND '92';
Join UiPageFileAttachType and Application on UiPageMetadataId = UiPageMetadataId,SELECT * FROM UiPageFileAttachType JOIN UiPageNavigation ON UiPageFileAttachType.UiPageMetadataId = UiPageNavigation.UiPageMetadataId;
Count number of records in UiPageFileAttachType,SELECT COUNT(*) FROM UiPageFileAttachType;
"Find distinct Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType","SELECT DISTINCT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType;"
Get maximum UiPageMetadataId from UiPageFileAttachType,SELECT MAX(UiPageMetadataId) FROM UiPageFileAttachType;
Get minimum UiPageMetadataId from UiPageFileAttachType,SELECT MIN(UiPageMetadataId) FROM UiPageFileAttachType;
Calculate average UiPageMetadataId in UiPageFileAttachType,SELECT AVG(UiPageMetadataId) FROM UiPageFileAttachType;
Get all records from UiPageFileAttachType,SELECT * FROM UiPageFileAttachType;
"Show all Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType;"
"List all Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId in UiPageFileAttachType where Value is 38","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE Value = '64';"
"Find Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId in UiPageFileAttachType with Value greater than 76","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE Value > 100;"
"Get Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType where Value is in (36, 55)","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE Value IN ('38', '98');"
Find all records in UiPageFileAttachType where Value is between 18 and 79,SELECT * FROM UiPageFileAttachType WHERE Value BETWEEN '6' AND '89';
Join UiPageFileAttachType and UiPageValidation on Value = UiPageDataId,SELECT * FROM UiPageFileAttachType JOIN UiPageMetadataCharacteristics ON UiPageFileAttachType.Value = UiPageMetadataCharacteristics.UiPageMetadataId;
Count number of records in UiPageFileAttachType,SELECT COUNT(*) FROM UiPageFileAttachType;
"Find distinct Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType","SELECT DISTINCT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType;"
Get maximum Value from UiPageFileAttachType,SELECT MAX(Value) FROM UiPageFileAttachType;
Get minimum Value from UiPageFileAttachType,SELECT MIN(Value) FROM UiPageFileAttachType;
Calculate average Value in UiPageFileAttachType,SELECT AVG(Value) FROM UiPageFileAttachType;
Get all records from UiPageFileAttachType,SELECT * FROM UiPageFileAttachType;
"Show all Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType;"
"List all Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId in UiPageFileAttachType where UiPageDataId is 95","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE UiPageDataId = '60';"
"Find Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId in UiPageFileAttachType with UiPageDataId greater than 64","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE UiPageDataId > 42;"
"Get Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType where UiPageDataId is in (47, 57)","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE UiPageDataId IN ('42', '97');"
Find all records in UiPageFileAttachType where UiPageDataId is between 46 and 97,SELECT * FROM UiPageFileAttachType WHERE UiPageDataId BETWEEN '29' AND '72';
Join UiPageFileAttachType and UiPageMetadataModuleBridge on UiPageDataId = UiPageMetadataId,SELECT * FROM UiPageFileAttachType JOIN Permission ON UiPageFileAttachType.UiPageDataId = Permission.IsDeleted;
Count number of records in UiPageFileAttachType,SELECT COUNT(*) FROM UiPageFileAttachType;
"Find distinct Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType","SELECT DISTINCT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType;"
Get maximum UiPageDataId from UiPageFileAttachType,SELECT MAX(UiPageDataId) FROM UiPageFileAttachType;
Get minimum UiPageDataId from UiPageFileAttachType,SELECT MIN(UiPageDataId) FROM UiPageFileAttachType;
Calculate average UiPageDataId in UiPageFileAttachType,SELECT AVG(UiPageDataId) FROM UiPageFileAttachType;
Get all records from UiPageFileAttachType,SELECT * FROM UiPageFileAttachType;
"Show all Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType;"
"List all Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId in UiPageFileAttachType where RecordId is 69","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE RecordId = '75';"
"Find Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId in UiPageFileAttachType with RecordId greater than 88","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE RecordId > 87;"
"Get Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType where RecordId is in (37, 57)","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE RecordId IN ('47', '67');"
Find all records in UiPageFileAttachType where RecordId is between 32 and 73,SELECT * FROM UiPageFileAttachType WHERE RecordId BETWEEN '14' AND '72';
Join UiPageFileAttachType and ActivityMetadata on RecordId = UiPageDataId,SELECT * FROM UiPageFileAttachType JOIN Record ON UiPageFileAttachType.RecordId = Record.Id;
Count number of records in UiPageFileAttachType,SELECT COUNT(*) FROM UiPageFileAttachType;
"Find distinct Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType","SELECT DISTINCT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType;"
Get maximum RecordId from UiPageFileAttachType,SELECT MAX(RecordId) FROM UiPageFileAttachType;
Get minimum RecordId from UiPageFileAttachType,SELECT MIN(RecordId) FROM UiPageFileAttachType;
Calculate average RecordId in UiPageFileAttachType,SELECT AVG(RecordId) FROM UiPageFileAttachType;
Get all records from UiPageFileAttachType,SELECT * FROM UiPageFileAttachType;
"Show all Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType;"
"List all Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId in UiPageFileAttachType where IsDeleted is 98","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE IsDeleted = '58';"
"Find Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId in UiPageFileAttachType with IsDeleted greater than 74","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE IsDeleted > 73;"
"Get Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType where IsDeleted is in (8, 85)","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE IsDeleted IN ('3', '81');"
Find all records in UiPageFileAttachType where IsDeleted is between 3 and 95,SELECT * FROM UiPageFileAttachType WHERE IsDeleted BETWEEN '48' AND '53';
Join UiPageFileAttachType and Role on IsDeleted = Value,SELECT * FROM UiPageFileAttachType JOIN WorkflowActivity ON UiPageFileAttachType.IsDeleted = WorkflowActivity.UiPageMetadataId;
Count number of records in UiPageFileAttachType,SELECT COUNT(*) FROM UiPageFileAttachType;
"Find distinct Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType","SELECT DISTINCT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType;"
Get maximum IsDeleted from UiPageFileAttachType,SELECT MAX(IsDeleted) FROM UiPageFileAttachType;
Get minimum IsDeleted from UiPageFileAttachType,SELECT MIN(IsDeleted) FROM UiPageFileAttachType;
Calculate average IsDeleted in UiPageFileAttachType,SELECT AVG(IsDeleted) FROM UiPageFileAttachType;
Get all records from UiPageFileAttachType,SELECT * FROM UiPageFileAttachType;
"Show all Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType;"
"List all Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId in UiPageFileAttachType where SubRecordId is 61","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE SubRecordId = '53';"
"Find Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId in UiPageFileAttachType with SubRecordId greater than 66","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE SubRecordId > 1;"
"Get Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId from UiPageFileAttachType where SubRecordId is in (21, 61)","SELECT Id, UiPageMetadataId, Value, UiPageDataId, RecordId, IsDeleted, SubRecordId FROM UiPageFileAttachType WHERE SubRecordId IN ('28', '90');"
Find all records in UiPageFileAttachType where SubRecordId is between 30 and 75,SELECT * FROM UiPageFileAttachType WHERE SubRecordId BETWEEN '4' AND '91';
Join UiPageFileAttachType and Survey on SubRecordId = IsDeleted,SELECT * FROM UiPageFileAttachType JOIN ActivityMetadata ON UiPageFileAttachType.SubRecordId = ActivityMetadata.SubRecordId;
Count number of records in UiPageFileAttachType,SELECT COUNT(*) FROM UiPageFileAttachType;
